key,scale,confidence,key_raw,hpcp_key,hpcp_confidence,chromagram,processing_time,error,filename,detector,actual_key,exact_match,tonic_match,is_relative,is_parallel,chroma_stft,chroma_cens
Ab major,major,0.7736887251235549,Ab,,,"[0.12054967880249023, 0.11726197600364685, 0.11524923145771027, 0.1376049965620041, 0.5771543383598328, 0.11966811865568161, 0.08522327989339828, 0.07311026751995087, 0.06658241152763367, 0.06955182552337646, 0.08841076493263245, 0.5470132231712341]",1.3933019638061523,,rock_120bpm_E_constant.mp3,Librosa_Chroma,E,False,False,False,False,"[0.180719792842865, 0.02436494454741478, 0.06052286550402641, 0.29990020394325256, 0.5019761919975281, 0.2994110882282257, 0.03335694596171379, 0.007866846397519112, 0.007419174071401358, 0.016688745468854904, 0.19263587892055511, 0.5074073076248169]","[0.08944635838270187, 0.13459895551204681, 0.120531365275383, 0.12481359392404556, 0.5710669755935669, 0.10535555332899094, 0.02981668896973133, 0.02537907101213932, 0.016090763732790947, 0.016604945063591003, 0.05950727313756943, 0.5418536067008972]"
A minor,minor,0.9060004353523254,A,A minor,0.6685552597045898,"[0.6643886566162109, 0.1876908838748932, 0.3954521119594574, 0.5791165232658386, 0.2577641010284424, 0.42713573575019836, 0.21623007953166962, 0.38793623447418213, 0.2972501218318939, 0.2133914828300476, 0.2949938178062439, 0.20524665713310242]",0.22066307067871094,,classical_90bpm_Aminor_clear.wav,Essentia_KeyExtractor,Am,False,False,False,False,,
Eb minor,minor,0.977864160057355,Eb,,,"[0.46971395611763, 0.031363751739263535, 0.2412731647491455, 0.031559281051158905, 0.41048866510391235, 0.19822710752487183, 0.018711425364017487, 0.14685802161693573, 0.02278834395110607, 0.6680143475532532, 0.033690210431814194, 0.23298807442188263]",1.3122479915618896,,classical_90bpm_Aminor_clear.wav,Librosa_Chroma,Am,False,False,False,False,"[0.2827383875846863, 0.1298638880252838, 0.1849224865436554, 0.12738706171512604, 0.25971195101737976, 0.20094043016433716, 0.06447528302669525, 0.14181306958198547, 0.20367854833602905, 0.6284588575363159, 0.20310890674591064, 0.34857454895973206]","[0.3975673019886017, 0.005172681529074907, 0.18010835349559784, 0.0067605990916490555, 0.3604740798473358, 0.14791502058506012, 0.0, 0.13205356895923615, 0.0021155455615371466, 0.486242413520813, 0.0048547531478106976, 0.20081540942192078]"
C minor,minor,0.9426668286323547,C,F minor,0.8051083087921143,"[0.15129457414150238, 0.19653163850307465, 0.15522657334804535, 0.6375644207000732, 0.18613292276859283, 0.3124682307243347, 0.26673629879951477, 0.2041088044643402, 0.4203445017337799, 0.16078586876392365, 0.5105778574943542, 0.17833153903484344]",0.21580791473388672,,electronic_140bpm_Cm_constant.wav,Essentia_KeyExtractor,Cm,False,False,False,False,,
C major,major,0.8098381400145385,C,,,"[0.7440983653068542, 0.22520852088928223, 0.19005587697029114, 0.1968982070684433, 0.14483216404914856, 0.3983611762523651, 0.1468416303396225, 0.44752803444862366, 0.15113244950771332, 0.09281706809997559, 0.1380046010017395, 0.15221285820007324]",1.3343799114227295,,electronic_140bpm_Cm_constant.wav,Librosa_Chroma,Cm,False,False,False,False,"[0.5253168344497681, 0.3174014985561371, 0.15486334264278412, 0.13624243438243866, 0.13969503343105316, 0.3097423315048218, 0.24207907915115356, 0.43980398774147034, 0.24830281734466553, 0.06364322453737259, 0.1351582258939743, 0.24673426151275635]","[0.6664061546325684, 0.2334926724433899, 0.175453782081604, 0.16789688169956207, 0.08475055545568466, 0.30596980452537537, 0.08848723024129868, 0.41482046246528625, 0.10965600609779358, 0.0020246736239641905, 0.08423186838626862, 0.12306966632604599]"
C major,major,0.9449129700660706,C,F major,0.8565359711647034,"[0.4231798052787781, 0.21663981676101685, 0.3323478102684021, 0.707536518573761, 0.26016542315483093, 0.3852885961532593, 0.21039819717407227, 0.39851120114326477, 0.3105585277080536, 0.21553964912891388, 0.4691416621208191, 0.19002777338027954]",0.2195301055908203,,classical_90bpm_Cmajor_clear.wav,Essentia_KeyExtractor,C,False,True,False,False,,
C major,major,0.973419864610229,C,,,"[0.7067709565162659, 0.041072990745306015, 0.17649374902248383, 0.029040755704045296, 0.380365252494812, 0.1961846500635147, 0.021808387711644173, 0.4134805500507355, 0.031191663816571236, 0.281390517950058, 0.02502092346549034, 0.15635213255882263]",1.2937510013580322,,classical_90bpm_Cmajor_clear.wav,Librosa_Chroma,C,False,True,False,False,"[0.4976786971092224, 0.20079305768013, 0.13608165085315704, 0.11416193097829819, 0.28313785791397095, 0.21579566597938538, 0.1160971075296402, 0.34054216742515564, 0.15675806999206543, 0.3009752333164215, 0.09722045809030533, 0.29936930537223816]","[0.5231842398643494, 0.008672671392560005, 0.14703619480133057, 0.004375583026558161, 0.34920796751976013, 0.14991921186447144, 0.001233277260325849, 0.37466707825660706, 0.003706365590915084, 0.21022172272205353, 0.004849139600992203, 0.13505622744560242]"
C major,major,0.9355611801147461,C,F major,0.8183528780937195,"[0.20991453528404236, 0.09766258299350739, 0.26303616166114807, 0.6181985139846802, 0.210616797208786, 0.31595170497894287, 0.17908459901809692, 0.29506534337997437, 0.3884620666503906, 0.24191708862781525, 0.4639657437801361, 0.16523808240890503]",0.08473706245422363,,test_128bpm_C_format.wav,Essentia_KeyExtractor,C,False,True,False,False,,
C major,major,0.8811212095569605,C,,,"[0.7313602566719055, 0.23785622417926788, 0.2016097754240036, 0.123772032558918, 0.23017863929271698, 0.4168964922428131, 0.15952222049236298, 0.44417065382003784, 0.11755457520484924, 0.14574606716632843, 0.11264627426862717, 0.23019097745418549]",0.43334197998046875,,test_128bpm_C_format.wav,Librosa_Chroma,C,False,True,False,False,"[0.5405797362327576, 0.33436575531959534, 0.1643657088279724, 0.08243867009878159, 0.22179847955703735, 0.35101214051246643, 0.26150110363960266, 0.415170818567276, 0.19351033866405487, 0.11132081598043442, 0.10408159345388412, 0.3182153105735779]","[0.6361939907073975, 0.24033291637897491, 0.17039304971694946, 0.02274850197136402, 0.21408897638320923, 0.31807219982147217, 0.10556056350469589, 0.4051879644393921, 0.03491857647895813, 0.08367786556482315, 0.016160408034920692, 0.2290753573179245]"
D minor,minor,0.951641321182251,D,D minor,0.7849292755126953,"[0.6499755382537842, 0.3062232434749603, 0.22443787753582, 0.5162376761436462, 0.33623552322387695, 0.5342673659324646, 0.20684826374053955, 0.3297043740749359, 0.37154620885849, 0.20278088748455048, 0.3735654950141907, 0.20571692287921906]",0.22094202041625977,,classical_70bpm_Dm_sad.wav,Essentia_KeyExtractor,Dm,False,False,False,False,,
Bb minor,minor,0.9250519158692654,Bb,,,"[0.1891297698020935, 0.030604878440499306, 0.640030562877655, 0.03763711079955101, 0.2433600276708603, 0.3742043673992157, 0.02343655936419964, 0.24540850520133972, 0.025422029197216034, 0.574597179889679, 0.17532449960708618, 0.020641056820750237]",1.2898471355438232,,classical_70bpm_Dm_sad.wav,Librosa_Chroma,Dm,False,False,False,False,"[0.13538703322410583, 0.14047156274318695, 0.32183361053466797, 0.17320485413074493, 0.26590633392333984, 0.25431349873542786, 0.11555969715118408, 0.2417607456445694, 0.2049737572669983, 0.6389300227165222, 0.28070250153541565, 0.07159342616796494]","[0.15906423330307007, 0.0063348570838570595, 0.4723462760448456, 0.004780313465744257, 0.18350215256214142, 0.3264785706996918, 0.001945546711795032, 0.18741554021835327, 0.0011607271153479815, 0.45077183842658997, 0.13639383018016815, 0.002897061873227358]"
C major,major,0.939539909362793,C,F major,0.8714228272438049,"[0.24352864921092987, 0.10457006096839905, 0.21120774745941162, 0.6267796158790588, 0.2054525762796402, 0.25236544013023376, 0.17447274923324585, 0.30998292565345764, 0.38073039054870605, 0.23318280279636383, 0.46625828742980957, 0.15260852873325348]",0.10007691383361816,,test_128bpm_C_format.flac,Essentia_KeyExtractor,C,False,True,False,False,,
C major,major,0.8815140004818927,C,,,"[0.7322841882705688, 0.2370339035987854, 0.20712804794311523, 0.12319634854793549, 0.22498498857021332, 0.41810891032218933, 0.1573297083377838, 0.43628913164138794, 0.11575254797935486, 0.15137289464473724, 0.11239688843488693, 0.2227463573217392]",0.48387622833251953,,test_128bpm_C_format.flac,Librosa_Chroma,C,False,True,False,False,"[0.5392093658447266, 0.33462822437286377, 0.1706133931875229, 0.08369103819131851, 0.2144528329372406, 0.36523887515068054, 0.2622556984424591, 0.39335593581199646, 0.18776655197143555, 0.12084714323282242, 0.10363278537988663, 0.3011411726474762]","[0.6388808488845825, 0.24320575594902039, 0.17241394519805908, 0.021096142008900642, 0.20524120330810547, 0.3207069933414459, 0.10332798212766647, 0.397967129945755, 0.034295704215765, 0.09451096504926682, 0.015535758808255196, 0.21739418804645538]"
E major,major,0.9473969340324402,E,A major,0.8061103820800781,"[0.3454967141151428, 0.1887439489364624, 0.5864677429199219, 0.2949129641056061, 0.3963955044746399, 0.4236302673816681, 0.2810508608818054, 0.5796065330505371, 0.15900297462940216, 0.30127331614494324, 0.1570931077003479, 0.48582398891448975]",0.2872798442840576,,ambient_85bpm_E_peaceful.flac,Essentia_KeyExtractor,E,False,True,False,False,,
Ab major,major,0.9756622208662055,Ab,,,"[0.04688698425889015, 0.2879444360733032, 0.03600047156214714, 0.19224649667739868, 0.6645107269287109, 0.0376138836145401, 0.15194068849086761, 0.035908397287130356, 0.4208230972290039, 0.23347923159599304, 0.03608601912856102, 0.4604128301143646]",1.3605599403381348,,ambient_85bpm_E_peaceful.flac,Librosa_Chroma,E,False,False,False,False,"[0.18021830916404724, 0.18970176577568054, 0.09750546514987946, 0.3034219741821289, 0.4520063102245331, 0.16890104115009308, 0.13662496209144592, 0.14270471036434174, 0.46411317586898804, 0.32385098934173584, 0.1792433261871338, 0.5525155067443848]","[0.011462532915174961, 0.2017553597688675, 0.004885427188128233, 0.1571546345949173, 0.4938203990459442, 0.003272274974733591, 0.13617032766342163, 0.005572850350290537, 0.3670188784599304, 0.16049043834209442, 0.004384519066661596, 0.3910183608531952]"
D major,major,0.9663318395614624,D,D major,0.8341996073722839,"[0.6717326641082764, 0.1755182147026062, 0.3485414683818817, 0.43101683259010315, 0.40558505058288574, 0.5301135182380676, 0.18992879986763, 0.28814688324928284, 0.1902247965335846, 0.3916798233985901, 0.2666020095348358, 0.20213288068771362]",0.2860569953918457,,classical_80bpm_D_constant.flac,Essentia_KeyExtractor,D,False,True,False,False,,
Bb major,major,0.932917044691673,Bb,,,"[0.019150694832205772, 0.2619447410106659, 0.5886659026145935, 0.03150486573576927, 0.1524272859096527, 0.018233519047498703, 0.391235888004303, 0.16670635342597961, 0.02174740470945835, 0.5800535678863525, 0.02280937135219574, 0.18707478046417236]",1.4656879901885986,,classical_80bpm_D_constant.flac,Librosa_Chroma,D,False,False,False,False,"[0.11367909610271454, 0.2796272337436676, 0.3077916204929352, 0.12644462287425995, 0.1229892447590828, 0.09213182330131531, 0.27384066581726074, 0.1905352622270584, 0.18762214481830597, 0.6186118721961975, 0.168768972158432, 0.20290400087833405]","[0.0025084877852350473, 0.21331210434436798, 0.4476284384727478, 0.004070456605404615, 0.13626858592033386, 0.0019691886845976114, 0.3461448550224304, 0.13580016791820526, 0.001238068100064993, 0.4637739658355713, 0.0006801015697419643, 0.15174803137779236]"
C major,major,0.9407588839530945,C,F major,0.8324007391929626,"[0.2241472452878952, 0.07910054922103882, 0.225917249917984, 0.6419450640678406, 0.2461049109697342, 0.27423226833343506, 0.1796545386314392, 0.3048751652240753, 0.37173035740852356, 0.23118360340595245, 0.4395788609981537, 0.129799485206604]",0.10084772109985352,,test_128bpm_C_format.m4a,Essentia_KeyExtractor,C,False,True,False,False,,
C major,major,0.8834451367890469,C,,,"[0.7279379367828369, 0.23965950310230255, 0.21229784190654755, 0.12502624094486237, 0.2318161129951477, 0.42160269618034363, 0.1598978489637375, 0.4384974539279938, 0.11754787713289261, 0.15346726775169373, 0.11357183754444122, 0.22785930335521698]",0.48959898948669434,,test_128bpm_C_format.m4a,Librosa_Chroma,C,False,True,False,False,"[0.5251686573028564, 0.3296566307544708, 0.17615824937820435, 0.0893390029668808, 0.22770141065120697, 0.3642142117023468, 0.2630785405635834, 0.3949373662471771, 0.1894441545009613, 0.12944260239601135, 0.10761771351099014, 0.30853042006492615]","[0.6323853731155396, 0.24051839113235474, 0.17839279770851135, 0.02161548286676407, 0.21614627540111542, 0.325546532869339, 0.10589082539081573, 0.397793173789978, 0.03529631346464157, 0.0936836376786232, 0.014419489540159702, 0.22091053426265717]"
